102900005115168 	899.837
102900005115199 	333.223
102900005115250 	2810.716
102900005115625 	121.02
102900005115748 	718.676
102900005115762 	5100.061
102900005115779 	15910.461
102900005115786 	7240.764
102900005115793 	1707.303
102900005115816 	18.428
102900005115823 	7606.756
102900005115854 	415.325
102900005115861 	3836.566
102900005115878 	4110.162
102900005115885 	939.575
102900005115908 	4496.717
102900005115946 	1566.64
102900005115960 	19187.218
102900005115977 	85.048
102900005115984 	10305.364
102900005116219 	438.593
102900005116226 	1186.531
102900005116233 	3457.875
102900005116257 	13602.001
102900005116509 	3516.763
102900005116530 	11920.227
102900005116547 	4697.47
102900005116639 	94.315
102900005116714 	27537.228
102900005116790 	2911.299
102900005116806 	101.125
102900005116837 	2542.959
102900005116899 	27149.44
102900005116905 	1.817
102900005116912 	375.222
102900005116943 	658.56
102900005117056 	9703.125
102900005117209 	263.192
102900005117353 	22
102900005118572 	596.697
102900005118817 	5216.461
102900005118824 	1179.652
102900005118831 	8982
102900005119098 	627.718
102900005119104 	102
102900005119944 	502.165
102900005119968 	128.5
102900005119975 	5159.433
102900005122654 	4962.454
102900005123880 	212.043
102900005125808 	1447.353
102900005125815 	2404.977
102900005128748 	1.784
102900011000175 	91.272
102900011000328 	7792.181
102900011000335 	7.658
102900011000571 	675.221
102900011000632 	13.251
102900011000861 	27.713
102900011001219 	278.612
102900011001561 	2095
102900011001691 	126.422
102900011001806 	1071
102900011001813 	2149
102900011002414 	45.252
102900011006689 	1543.478
102900011006948 	732.615
102900011006955 	16.337
102900011007044 	287
102900011007464 	30.172
102900011007471 	7.568
102900011007495 	4.232
102900011007969 	100.469
102900011008133 	14.227
102900011008164 	5816.308
102900011008485 	51.735
102900011008492 	7.48
102900011008515 	12.936
102900011008522 	4685.261
102900011008577 	3
102900011008676 	15.887
102900011009246 	212.171
102900011009277 	1671.424
102900011009444 	1167.218
102900011009772 	0.415
102900011009970 	8393.786
102900011010563 	1.215
102900011010891 	448.86
102900011011058 	1.084
102900011011546 	1266
102900011011669 	14.708
102900011012482 	90
102900011012871 	5.795
102900011012994 	1343
102900011013274 	2927
102900011015384 	3.39
102900011015391 	0.943
102900011016701 	28164.331
102900011016909 	101.379
102900011018095 	978
102900011018132 	50.815
102900011021644 	25
102900011021675 	2.388
102900011021699 	6.602
102900011021842 	6052
102900011022030 	641
102900011022764 	2496.413
102900011022849 	1375.122
102900011022924 	30.275
102900011023075 	1
102900011023464 	3267.993
102900011023976 	62.221
102900011024010 	21
102900011026502 	6.32
102900011026618 	10.512
102900011026793 	10
102900011027462 	16.829
102900011027479 	163.64
102900011027615 	8.472
102900011028407 	33.907
102900011029176 	119.645
102900011029275 	1.754
102900011029299 	6.843
102900011029305 	28.571
102900011029688 	2.886
102900011030042 	313
102900011030059 	14325
102900011030097 	8848
102900011030103 	587
102900011030110 	6342
102900011030134 	2053
102900011030141 	3070
102900011030158 	296
102900011030400 	3
102900011030417 	3
102900011030561 	5
102900011030608 	34
102900011030615 	7
102900011030622 	4
102900011030639 	4
102900011030905 	470
102900011030912 	1301
102900011030929 	741
102900011031100 	10833
102900011031216 	29
102900011031582 	932
102900011031599 	102
102900011031735 	18
102900011031742 	6
102900011031759 	13
102900011031841 	10
102900011031858 	1
102900011031926 	1109
102900011031995 	682
102900011032022 	5175
102900011032114 	10
102900011032176 	40
102900011032206 	457
102900011032213 	707
102900011032220 	283
102900011032237 	2307
102900011032244 	953
102900011032251 	8235
102900011032282 	41
102900011032343 	370.033
102900011032350 	76.596
102900011032367 	214.81
102900011032480 	2.224
102900011032589 	28.601
102900011032619 	413.841
102900011032626 	28.535
102900011032633 	51.895
102900011032640 	16.953
102900011032732 	449.684
102900011032787 	1076
102900011032848 	1868
102900011033081 	24.996
102900011033173 	9.3
102900011033234 	727
102900011033241 	65
102900011033531 	0.682
102900011033562 	0.419
102900011033586 	1.153
102900011033906 	6484.736
102900011033913 	0.615
102900011033920 	1882.768
102900011033937 	473.315
102900011033944 	1304.552
102900011033968 	9.24
102900011033975 	190.522
102900011033982 	297.158
102900011033999 	4.981
102900011034026 	5821.571
102900011034200 	426
102900011034217 	341
102900011034224 	4057
102900011034231 	6931
102900011034262 	93
102900011034316 	9.381
102900011034323 	6.009
102900011034330 	4229
102900011034354 	200
102900011034439 	1257
102900011034538 	3
102900011034569 	40
102900011034705 	8
102900011035078 	769.208
102900011035481 	127
102900011035511 	348.8
102900011035740 	371
102900011035764 	186.831
102900011035771 	155.496
102900011035788 	379
102900011035849 	16.538
102900011035962 	11.398
102900011036068 	13
102900011036242 	45
102900011036266 	3
102900011036686 	27
102900051000463 	1047.689
102900051000890 	0.671
102900051000944 	745.554
102900051004294 	2219.781
102900051006229 	18.614
102900051009220 	40.726
102900051009336 	39.977
102900051010455 	7987.99
102900051010790 	27.022
106930274220092 	399
106930274620090 	708
106931885000035 	7
106931885000356 	2
106949711300068 	2549
106949711300167 	3175
106949711300259 	15596
106956146480197 	251
106956146480203 	95
106957634300010 	168
106957634300058 	81
106958851400125 	2149
106971533450003 	1303
106971533455008 	1775
106971563780002 	8
106972776821582 	128
106973223300667 	1
106973990980123	109
